"Numeral" "ID" "PRESTADOR" "NIT" "EXPEDIENTES" "COD_DANE" "DPTO" "Municipio de Correspondencia" "SERVICIOS" "REPRESENTANTE LEGAL" "DIRECCION" "CORREO ELECTRONICO" "TELEFONO 1" "TELEFONO 2" "CELULAR" "CLASIFICACION" "AREA DE PRESTACION" "TIPO PRESTADOR" "ORDEN" "NATURALEZA JURIDICA" "CLASE" "FECHA DE INICIO DE ACTIVIDADES" "ACUEDUCTO CAPTACION" "ACUEDUCTO ADUCCION" "ACUEDUCTO TRATAMIENTO" "ACUEDUCTO ALMACENAMIENTO" "ACUEDUCTO CONDUCCION" "ACUEDUCTO DISTRIBUCION" "ACUEDUCTO COMERCIALIZACION" "ALCANTARILLADO RECOLECCION" "ALCANTARILLADO CONDUCCION DE RESIDUOS LIQUIDOS" "ALCANTARILLADO TRATAMIENTO" "ALCANTARILLADO DISPOSICION FINAL" "ALCANTARILLADO COMERCIALIZACION" "ASEO RECOLECCION Y TRANSPORTE" "ASEO BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "ASEO LAVADO DE AREAS PUBLICAS" "ASEO CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "ASEO APROVECHAMIENTO" "ASEO DISPOSICION FINAL" "ASEO LIMPIEZA DE PLAYAS" "ASEO TRANSFERENCIA" "ULTIMO TRAMITE RUPS" "MOTIVO" "ESTADO" "EN VIGILANCIA" "OBSERVACIONES" "Municipios Prestacion"
"127" 802 "ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO HONDITA HOJAS ANCHAS DEL MUNICIPIO DE GUARNE" 8110054330 "2019460351700135E" 5318 "ANTIOQUIA" "GUARNE" "ACUEDUCTO" "GIL OSPINA JOHN JAIRO" "AUT MEDELLIN BOGOTA MALL MIRADOR DE LOS COMUNEROS Kilometro 25+90" "acueductohha@une.net.co" "5511007" 5515996 3136532904 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "25 / sep / 1992" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43645" "Actualizacion" "CERTIFICADA" "SI" NA "GUARNE"
"128" 809 "JUNTA ADMINISTRADORA DEL ACUEDUCTO DE LA VEREDA SAN RAFAEL MUNICIPIO DE TANGUA" 8140018558 "2019460351700136E" 52788 "NARINO" "TANGUA" "ACUEDUCTO" "JOSA MADRONERO GILBERTO JAIME" "VEREDA SAN RAFAEL" "personerodetangua@gmail.com" "3153513" 3153513 3153513259 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "JUNTA ADMINISTRADORA" "PRIVADA" "35936" "CAPTACION" "0" "TRATAMIENTO" "0" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41187" "Inscripción" "APROBADA" "SI" NA "TANGUA"
"129" 810 "ASOCIACION VIVA CERRITOS" 8001916142 "2019460351700137E" 66001 "RISARALDA" "PEREIRA" "ACUEDUCTO" "Francisco Danilo Lanzas Duque" "Km 8 Via Pereria Cerritos" "vivacerritos@acueductodecerritos.com" "3343352" 3344019 3113862227 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "35472" "CAPTACION" "adUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43626" "Actualizacion" "CERTIFICADA" "SI" NA "PEREIRA"
"130" 812 "EMPRESA DE SERVICIOS PUBLICOS DE PUEBLO RICO RISARALDA E.S.P." 8160075311 "2019460351700138E" 66572 "RISARALDA" "PUEBLO RICO" "ACUEDUCTO,ALCANTARILLADO,ASEO" "DIEGO FERNANDO MOSQUERA PIEDRAHITA" "Carrera 4 No 6-17" "esp.pueblorico@risaralda.gov.co" "3663244" 3663254 3206798122 "HASTA 2500 SUSCRIPTORES" "URBANO" "EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO" "MUNICIPAL" "0" "OFICIAL" "35220" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "0" "0" "43622" "Actualizacion" "CERTIFICADA" "SI" NA "PUEBLO RICO"
"131" 815 "UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DE GAMEZA" 8918577641 "2019460351700139E" 15296 "BOYACA" "GAMEZA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "EDGAR CRUZ CRISTANCHO CRISTANCHO" "Calle 3o No. 3 -44" "contactenos@gameza-boyaca.gov.co" "7778107" 7778107 3203063375 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "36768" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "0" "DISPOSICION FINAL" "0" "0" "43249" "Actualizacion" "Pendiente de Revision" "SI" NA "GAMEZA"
"132" 819 "ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO VEREDA EL CAMPAMENTO" 9004182347 "2019460351700140E" 52207 "NARINO" "CONSACA" "ACUEDUCTO" "CASTILLO MORA BUENAVENTURA HERNAN" "VEREDA EL CAMPAMENTO CONSACA" "hercas7172@hotmail.com" "7423135" 7423135 3146901347 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "JUNTA ADMINISTRADORA" "PRIVADA" "40230" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41186" "Inscripción" "APROBADA" "SI" NA "CONSACA"
"133" 824 "UNIDAD ADMINISTRADORA DE LOS SERVICOS PUBLICOS DE SURATA" 8902050516 "2019460351700141E" 68780 "SANTANDER" "SURATA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "DIAZ MEDINA IGNACIO" "Carrera 4 No 4-19" "unidaddeserviciospublicos@surata-santander.gov.co" "6169790" 6169707 3103494546 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "34873" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "0" "0" "43514" "Actualizacion" "CERTIFICADA" "SI" NA "SURATA"
"134" 825 "UNIDAD DE SERVICIOS PUBLICOS DOMICILIOS DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL MUNICIPIO DE CHARALA" 8902050634 "2019460351700142E" 68167 "SANTANDER" "CHARALA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "GIL ANTONIO MENDEZ MENDEZ" "Carrera 17 No 25-30" "serviciospublicos@charala-santander.gov.co" "7258130" 6784275 3013939818 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "35507" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "LAVADO DE AREAS PUBLICAS" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "APROVECHAMIENTO" "0" "0" "0" "42874" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "CHARALA"
"135" 836 "UNIDAD DE LOS SERVICIOS PUBLICOS DE PAJARITO" 8000655937 "2019460351700143E" 15518 "BOYACA" "PAJARITO" "ACUEDUCTO,ALCANTARILLADO,ASEO" "INOCENCIO PEREZ CASTRO" "Palacio Municipal" "alcaldia@pajarito-boyaca.gov.co" "3138852567" 7847080 3103243881 "MENOR O IGUAL A 2500 USUARIOS" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "39500" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "LAVADO DE AREAS PUBLICAS" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "43578" "Actualizacion" "CERTIFICADA" "SI" NA "PAJARITO"
"136" 838 "UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS MUNICIPIO DE ALEJANDRIA" 8909837011 "2019460351700144E" 5021 "ANTIOQUIA" "ALEJANDRIA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "LUIS FERNANDO LOPEZ PEREZ" "Calle 20 No 19 - 36" "servipublicos@alejandria-antioquia.gov.co" "3122880497" 8660102 3122880497 "MENOR O IGUAL A 2500 USUARIOS" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "35758" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "0" "DISPOSICION FINAL" "0" "0" "43588" "Actualizacion" "CERTIFICADA" "SI" NA "ALEJANDRIA"
"137" 839 "FUNDACION ACUEDUCTO VANGUARDIA" 8000442814 "2019460351700145E" 50001 "META" "VILLAVICENCIO" "ACUEDUCTO" "JARA AGUDELO LUIS ENRIQUE" "Kilometro 5 VIA AEROPUERTO" "fundaguavanguardia@hotmail.com" "6648653" 6653751 3115444770 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "31114" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43152" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "VILLAVICENCIO"
"138" 850 "ASOCIACION DE USUARIOS DE SERVICIOS DE BARCELONA QUINDIO" 8002226559 "2019460351700146E" 63130 "QUINDIO" "CALARCA" "ACUEDUCTO" "CRUZ NIETO JOSE ISMAEL" "Carrera 11 No 11-25" "ausbarcelona@yahoo.com" "7656540" 7656540 3206880140 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "34389" "0" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43215" "Actualizacion" "Pendiente de Revision" "SI" NA "CALARCA"
"139" 855 "UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DE AGUA POTABLE ALCANTARILLADO Y ASEO DEL MUNICIPIO DE QUIPAMA" 8000295135 "2019460351700147E" 15580 "BOYACA" "QUIPAMA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "WILLIAM ENRIQUE PEREIRA HERRERA" "Calle 9 No 6-28" "serviciospublicos@quipama-boyaca.gov.co" "7265131" 7265131 3114758907 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "36595" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "LAVADO DE AREAS PUBLICAS" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "43510" "Actualizacion" "CERTIFICADA" "SI" NA "QUIPAMA"
"140" 858 "EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE ACUEDUCTO ALCANTARILLADO Y ASEO EN LA CABECERA MUNICIPAL DEL MUNICIPIO DE ARATOCA" 8902053345 "2019460351700148E" 68051 "SANTANDER" "ARATOCA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "Pedro Julio Corredor Cáceres" "Calle 4 No 4 - 38" "contactenos@aratoca-santander.gov.co" "7266687" 7266540 3124372235 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "35293" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "LAVADO DE AREAS PUBLICAS" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "0" "DISPOSICION FINAL" "0" "0" "43515" "Actualizacion" "CERTIFICADA" "SI" NA "ARATOCA"
"141" 859 "ASOCIACION DE USUARIOS DE ACUEDUCTO REGIONAL DE RASGATA Y OTRAS DE LOS MUNICIPIOS DE TAUSA NEMOCON CUCUNUBA SUTATAUSA Y COGUA" 8000954636 "2019460351700149E" 25224 "CUNDINAMARCA" "ZIPAQUIRA" "ACUEDUCTO" "JUAN CARLOS RODRÍGUEZ CADENA" "CARRERA 19 NO. 4A-67 APTO 201 BARRIO ALGARRA 3" "sucunetadireccion@gmail.com" "8826800" 0 3187174916 "MAS DE 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "35591" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43635" "Actualizacion" "CERTIFICADA" "SI" NA "COGUA, CUCUNUBA, NEMOCON, SUTATAUSA, TAUSA"
"142" 861 "UNIDAD ADMINISTRADORA DE LOS SERVICIOS PUBLICOS DE ACUEDUCTO ALCANTARILLADO Y ASEO DE CARCASI" 8902109337 "2019460351700150E" 68152 "SANTANDER" "CARCASI" "ACUEDUCTO,ALCANTARILLADO,ASEO" "GERMAN EUGENIO JURADO" "Calle 2 No 2-43 Piso 2" "SERVICIOSPUBLICOS@CARCASI-SANTANDER.GOV.CO" "6606512" 6606504 0 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "35233" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "LAVADO DE AREAS PUBLICAS" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "0" "DISPOSICION FINAL" "TRATAMIENTO" "0" "43529" "Actualizacion" "CERTIFICADA" "SI" NA "CARCASI"
"143" 863 "UNIDAD DE SERVICIOS PUBLICOS DEL MUNICIPIO DE SAN CAYETANO" 8000947518 "2019460351700151E" 25653 "CUNDINAMARCA" "SAN CAYETANO" "ACUEDUCTO,ALCANTARILLADO,ASEO" "LUIS ALEJANDRO RONCANCIO RINCON" "Parque Principal" "uspublicos@sancayetano-cundinamarca.gov.co" "8505432" 8505442 0 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "37621" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "0" "0" "43532" "Actualizacion" "CERTIFICADA" "SI" NA "SAN CAYETANO"
"144" 864 "MUNICIPIO DE SOCHA" 8000992108 "2019460351700152E" 15757 "BOYACA" "SOCHA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "PARMENIO DE JESUS RIVERA ROJAS" "Calle 4 No 9-26" "alcaldia@socha-boyaca.gov.co" "7874040" 7874040 3143355886 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "35254" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "LAVADO DE AREAS PUBLICAS" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "43665" "Actualizacion" "CERTIFICADA" "SI" NA "SOCHA"
"145" 872 "UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE COROMORO" 8902050587 "2019460351700153E" 68217 "SANTANDER" "COROMORO" "ACUEDUCTO,ALCANTARILLADO,ASEO" "SANDRA MILENA AMAYA GAMEZ" "Carrera 5 No 5 - 22" "serviciospublicosc@gmail.com" "7247516" 7247516 3115949463 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "35207" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "0" "0" "43534" "Actualizacion" "CERTIFICADA" "SI" NA "COROMORO"
"146" 875 "ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO MULTIVEREDAL JUAN XXIII CHAPARRAL" 8110415592 "2019460351700154E" 5318 "ANTIOQUIA" "GUARNE" "ACUEDUCTO" "ZAPATA MARIN ARMANDO DE JESUS" "CARRERA 50 No 42-100 loc 233" "anarenar1983@hotmail.com" "5515669" 8544021 3128625771 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "37793" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43220" "Actualizacion" "Pendiente de Revision" "SI" NA "GUARNE"
"147" 876 "ASOCIACION DE USUARIOS DEL ACUEDUCTO REGIONAL DE LA VICTORIA Y LAS VEREDAS LA PITALA SUBIA SANTA ISABEL SANTA CRUZ SAN MIGUEL SANTA RITA EL CARM" 8000821248 "2019460351700155E" 25245 "CUNDINAMARCA" "EL COLEGIO" "ACUEDUCTO" "PENA PADILLA LIBARDO" "VEREDA SANTA ISABEL" "acueductoauavic@hotmail.com" "8475199" 8475199 3106803544 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "32751" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43507" "Actualizacion" "APROBADA" "SI" NA "EL COLEGIO"
"148" 880 "UNIDAD ADMINISTRADORA DE SERVICIOS PUBLICOS DE ACUEDUCTO ALCANTARILLADO Y ASEO PARAMO SANTANDER" 8000998192 "2019460351700156E" 68533 "SANTANDER" "PARAMO" "ACUEDUCTO,ALCANTARILLADO,ASEO" "PATINO RICO MAURICIO" "Carrera 3 No 3-40" "servipublicosparamo@gmail.com" "7258910" 7258935 3157924678 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "35068" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "0" "0" "43202" "Actualizacion" "APROBADA" "SI" NA "PARAMO"
"149" 891 "OFICINA DE SERVICIOS PUBLICOS DE ACUEDUCTO ALCANTARILLADO Y ASEO" 8911801793 "2019460351700157E" 41503 "HUILA" "OPORAPA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "PABLO JHON TRUJILLO MOTTA" "Calle 5 No 6-79 Palacio Municipal" "contactenos@oporapa-huila.gov.co" "8790661" 8790661 0 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "23333" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "LAVADO DE AREAS PUBLICAS" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "APROVECHAMIENTO" "DISPOSICION FINAL" "TRATAMIENTO" "0" "43636" "Actualizacion" "CERTIFICADA" "SI" NA "OPORAPA"
"150" 892 "ASOCIACION DE USUARIOS ACUEDUCTO CHARCO VERDE BELLO ANTIOQUIA" 8110448845 "2019460351700158E" 5088 "ANTIOQUIA" "BELLO" "ACUEDUCTO" "ATEHORTUA EDWIN ALONSO" "VEREDA CHARCO VERDE" "alcaldia@belloantioquia.gov.co" "3880670" 3880670 3127829722 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "38004" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "41172" "Inscripción" "APROBADA" "SI" NA "BELLO"
"151" 897 "OFICINA DE SERVICIOS PUBLICOS DOMICILIARIOS DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL MUNICIPIO DE CACHIPAY" 8000810919 "2019460351700159E" 25123 "CUNDINAMARCA" "CACHIPAY" "ACUEDUCTO,ALCANTARILLADO,ASEO" "MOYA SILVA ALVARO" "Carrera 5A Calle 4A Esquina" "servicios.publicos@cachipay-cundinamarca.gov.co" "8443057" 8443304 3142979315 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "36712" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "LAVADO DE AREAS PUBLICAS" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "43123" "Actualizacion" "APROBADA" "SI" NA "CACHIPAY"
